sheet,cell,nearby_label,formula,cached_value
📅 TVM & Bonds,E5,FV = CF × (1+r)^n | 12 | Discount rate (r),=B6*(1+B4)^B5,1795.85632602213
📅 TVM & Bonds,E6,PV = CF / (1+r)^n | 1000 | Years (n),=B6/(1+B4)^B5,556.837418177559
📅 TVM & Bonds,F11,PV = CF / r | — | 30000,=C11/B11,375000
📅 TVM & Bonds,F12,PV = CF / (r - g) | 0.03 | 30000,=C12/(B12-D12),600000
📅 TVM & Bonds,G16,PV = CF/r × [1 - 1/(1+r)^N] | — | 30,=(C16/B16)*(1-1/(1+B16)^D16),94269.1446698832
📅 TVM & Bonds,G17,PV = CF/(r-g) × [1 - ((1+g)/(1+r))^N] | 0.05 | 30,=(C17/( B17-E17))*(1-((1+E17)/(1+B17))^D17),150463.14700582
📅 TVM & Bonds,E22,Annual coupon (CPN) | 0.1 | Coupon rate,=B22*B23,100
📅 TVM & Bonds,E23,Bond price (PV) | 1000 | Face value,=B22*B24/B26*(1-1/(1+B25/B26)^(B24*B26))+B23/(1+B25/B26)^(B24*B26),233.68331630989
📅 TVM & Bonds,C31,96.62 | 1 | YTM = (FV/Price)^(1/n) - 1,=(100/B31)^(1/A31)-1,0.0349824052991099
📅 TVM & Bonds,C32,92.45 | 2 | YTM = (FV/Price)^(1/n) - 1,=(100/B32)^(1/A32)-1,0.0400316174417625
📅 TVM & Bonds,C33,87.63 | 3 | YTM = (FV/Price)^(1/n) - 1,=(100/B33)^(1/A33)-1,0.0449986500942583
📅 TVM & Bonds,C34,83.06 | 4,=(100/B34)^(1/A34)-1,0.0474951439397515
📅 TVM & Bonds,C44,NWC = AR+Inv−AP,=(C40*B41+C40*B42-C40*B43),5040
📅 TVM & Bonds,D44,NWC = AR+Inv−AP,=(D40*B41+D40*B42-D40*B43),5544
📅 TVM & Bonds,E44,NWC = AR+Inv−AP,=(E40*B41+E40*B42-E40*B43),6098.4
📅 TVM & Bonds,C45,ΔNWC (investment),=-C44,-5040
📅 TVM & Bonds,D45,ΔNWC (investment),=(C44-D44),-504
📅 TVM & Bonds,E45,ΔNWC (investment),=(D44-E44),-554.399999999999
📅 TVM & Bonds,F45,,=E44,6098.4
📅 TVM & Bonds,C57,6 | 1 | Terminal Price,"=IF(A57=$B$55,IF(ISNUMBER(B57),B57,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D57,6 | 1 | Total CF,"=IF(ISNUMBER(B57),B57,0)+IF(ISNUMBER(C57),C57,0)",6
📅 TVM & Bonds,E57,6 | 1 | PV of CF,"=IF(D57=0,"""",D57/(1+$B$53)^A57)",5.40540540540541
📅 TVM & Bonds,C58,2 | Terminal Price,"=IF(A58=$B$55,IF(ISNUMBER(B58),B58,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D58,2 | Total CF,"=IF(ISNUMBER(B58),B58,0)+IF(ISNUMBER(C58),C58,0)",0
📅 TVM & Bonds,E58,2 | PV of CF,"=IF(D58=0,"""",D58/(1+$B$53)^A58)",
📅 TVM & Bonds,C59,5 | 3 | Terminal Price,"=IF(A59=$B$55,IF(ISNUMBER(B59),B59,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D59,5 | 3 | Total CF,"=IF(ISNUMBER(B59),B59,0)+IF(ISNUMBER(C59),C59,0)",5
📅 TVM & Bonds,E59,5 | 3 | PV of CF,"=IF(D59=0,"""",D59/(1+$B$53)^A59)",3.65595690650475
📅 TVM & Bonds,C60,2 | 4,"=IF(A60=$B$55,IF(ISNUMBER(B60),B60,0)*(1+$B$54)/($B$53-$B$54),"""")",22.6666666666667
📅 TVM & Bonds,D60,2 | 4,"=IF(ISNUMBER(B60),B60,0)+IF(ISNUMBER(C60),C60,0)",24.6666666666667
📅 TVM & Bonds,E60,2 | 4,"=IF(D60=0,"""",D60/(1+$B$53)^A60)",16.2486973622433
📅 TVM & Bonds,C61,5,"=IF(A61=$B$55,IF(ISNUMBER(B61),B61,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D61,5,"=IF(ISNUMBER(B61),B61,0)+IF(ISNUMBER(C61),C61,0)",0
📅 TVM & Bonds,E61,5,"=IF(D61=0,"""",D61/(1+$B$53)^A61)",
📅 TVM & Bonds,C62,6,"=IF(A62=$B$55,IF(ISNUMBER(B62),B62,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D62,6,"=IF(ISNUMBER(B62),B62,0)+IF(ISNUMBER(C62),C62,0)",0
📅 TVM & Bonds,E62,6,"=IF(D62=0,"""",D62/(1+$B$53)^A62)",
📅 TVM & Bonds,C63,7,"=IF(A63=$B$55,IF(ISNUMBER(B63),B63,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D63,7,"=IF(ISNUMBER(B63),B63,0)+IF(ISNUMBER(C63),C63,0)",0
📅 TVM & Bonds,E63,7,"=IF(D63=0,"""",D63/(1+$B$53)^A63)",
📅 TVM & Bonds,C64,8,"=IF(A64=$B$55,IF(ISNUMBER(B64),B64,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D64,8,"=IF(ISNUMBER(B64),B64,0)+IF(ISNUMBER(C64),C64,0)",0
📅 TVM & Bonds,E64,8,"=IF(D64=0,"""",D64/(1+$B$53)^A64)",
📅 TVM & Bonds,C65,9,"=IF(A65=$B$55,IF(ISNUMBER(B65),B65,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D65,9,"=IF(ISNUMBER(B65),B65,0)+IF(ISNUMBER(C65),C65,0)",0
📅 TVM & Bonds,E65,9,"=IF(D65=0,"""",D65/(1+$B$53)^A65)",
📅 TVM & Bonds,C66,10,"=IF(A66=$B$55,IF(ISNUMBER(B66),B66,0)*(1+$B$54)/($B$53-$B$54),"""")",
📅 TVM & Bonds,D66,10,"=IF(ISNUMBER(B66),B66,0)+IF(ISNUMBER(C66),C66,0)",0
📅 TVM & Bonds,E66,10,"=IF(D66=0,"""",D66/(1+$B$53)^A66)",
📅 TVM & Bonds,E67,Stock Price P0,"=SUMIF(E57:E66,"">0"")",25.3100596741535
📅 TVM & Bonds,B79,Years of contributions N | 0.07 | 0.05,=B75-B74,35
📅 TVM & Bonds,B80,Growing Annuity Factor (GAF) | 0.07 | 0.05,=(1/(B78-B77))*(1-((1+B77)/(1+B78))^B79),24.1676894634269
📅 TVM & Bonds,B81,FV at retirement (= nest egg) | 0.07,=B76*B80*(1+B78)^B79,928901.901064175
📅 TVM & Bonds,B86,Years of retirement N_ret | 0.07 | 100,=B84-B75+1,36
📅 TVM & Bonds,B87,Withdrawal per year C | 0.07 | 100,=B81*B85/(1-(1+B85)^(-B86)),71260.9970129538
📅 TVM & Bonds,B97,Original contribution C1 | 5 | 15,=B93*B92/(((1+B92)^B95)-1),1503.69673843594
📅 TVM & Bonds,B98,Remaining years N2 | 5 | 15,=B95-B96,10
📅 TVM & Bonds,B99,FV of C1 contributions at yr N | 5,=B97/B92*(((1+B92)^B96)-1)*(1+B92)^B98,15180.0816351489
📅 TVM & Bonds,B100,New contribution C2 (changed target),=(B94-B99)*B92/(((1+B92)^B98)-1),1807.16857131748
📐 Rate & Spot Rates,D18,100 | 98.15 | 1,"=IF(B18="""","""",( C18/B18)^(1/A18)-1)",0.0188487009679061
📐 Rate & Spot Rates,E18,100 | 98.15 | 1,"=IF(B18="""","""",1/(1+D18)^A18)",0.9815
📐 Rate & Spot Rates,D19,100 | 94.61 | 2,"=IF(B19="""","""",( C19/B19)^(1/A19)-1)",0.0280908140388199
📐 Rate & Spot Rates,E19,100 | 94.61 | 2,"=IF(B19="""","""",1/(1+D19)^A19)",0.9461
📐 Rate & Spot Rates,D20,100 | 90.73 | 3,"=IF(B20="""","""",( C20/B20)^(1/A20)-1)",0.0329588710264825
📐 Rate & Spot Rates,E20,100 | 90.73 | 3,"=IF(B20="""","""",1/(1+D20)^A20)",0.9073
📐 Rate & Spot Rates,D21,100 | 4,"=IF(B21="""","""",( C21/B21)^(1/A21)-1)",
📐 Rate & Spot Rates,E21,100 | 4,"=IF(B21="""","""",1/(1+D21)^A21)",
📐 Rate & Spot Rates,D22,100 | 5,"=IF(B22="""","""",( C22/B22)^(1/A22)-1)",
📐 Rate & Spot Rates,E22,100 | 5,"=IF(B22="""","""",1/(1+D22)^A22)",
📐 Rate & Spot Rates,G27,"r₀,1 (spot rate itself) | Forward Rate",=D18,0.0188487009679061
📐 Rate & Spot Rates,G28,"[(1+r₀,2)^2 / (1+r₀,1)^1]^(1/1) - 1 | Forward Rate","=IF(OR(D18="""",D19=""""),"""",((1+D19)^2/(1+D18)^1)^(1/(2-1))-1)",0.0374167635556497
📐 Rate & Spot Rates,G29,"[(1+r₀,3)^3 / (1+r₀,2)^2]^(1/1) - 1 | Forward Rate","=IF(OR(D19="""",D20=""""),"""",((1+D20)^3/(1+D19)^2)^(1/(3-2))-1)",0.0427642455637602
📐 Rate & Spot Rates,G30,"r₀,2 (spot rate itself)",=D19,0.0280908140388199
📐 Rate & Spot Rates,G31,"r₀,3 (spot rate itself)",=D20,0.0329588710264825
📐 Rate & Spot Rates,B38,1 | Cash Flow | 0.06,"=IF(1<$C$36,$A$36*$B$36,$A$36*$B$36+$A$36)",60
📐 Rate & Spot Rates,C38,1 | Spot Rate | 3,=D18,0.0188487009679061
📐 Rate & Spot Rates,D38,1 | PV of CF,"=IF(D18="""","""",B38/(1+D18)^A38)",58.89
📐 Rate & Spot Rates,B39,2 | Cash Flow | 0.06,"=IF(2<$C$36,$A$36*$B$36,$A$36*$B$36+$A$36)",60
📐 Rate & Spot Rates,C39,2 | Spot Rate | 3,=D19,0.0280908140388199
